,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess
in,0.813559322,0.8305084746,0.7966101695,0.5762711864,0.8983050847,0.8983050847
inside,0.9166666667,0.8958333333,0.8333333333,0.5625,0.8958333333,0.8958333333
against,0.8888888889,0.9145299145,0.8803418803,0.5811965812,0.6837606838,0.6837606838
on,0.9451219512,0.9268292683,0.8658536585,0.7743902439,0.8597560976,0.9390243902
on top of,0.9846153846,0.9769230769,0.9692307692,0.7846153846,0.8692307692,0.8692307692
under,0.8085106383,0.4964539007,0.7163120567,0.3191489362,0.865248227,0.829787234
below,0.8843537415,0.8231292517,0.7346938776,0.231292517,0.8503401361,0.8503401361
over,0.8,0.7529411765,0.8235294118,0.4823529412,0.7294117647,0.6823529412
above,0.843373494,0.7951807229,0.843373494,0.6746987952,0.8674698795,0.8674698795
Average,0.8761211208,0.8235921244,0.8292531834,0.5540518429,0.8354839973,0.8351227169
Overall,0.8839835729,0.8203285421,0.8285420945,0.5482546201,0.8326488706,0.8367556468
