,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess
in,0.8135593220338984,0.8305084745762712,0.7966101694915254,0.576271186440678,0.8983050847457628,0.8983050847457628
inside,0.9166666666666666,0.8958333333333334,0.8333333333333334,0.5625,0.8958333333333334,0.8958333333333334
against,0.8888888888888888,0.9145299145299145,0.8803418803418803,0.5811965811965812,0.6837606837606838,0.6837606837606838
on,0.9451219512195121,0.926829268292683,0.8658536585365854,0.774390243902439,0.8597560975609756,0.9390243902439024
on top of,0.9846153846153847,0.9769230769230769,0.9692307692307692,0.7846153846153846,0.8692307692307693,0.8692307692307693
under,0.8085106382978723,0.49645390070921985,0.7163120567375887,0.3191489361702128,0.8652482269503546,0.8297872340425532
below,0.8843537414965986,0.8231292517006803,0.7346938775510204,0.23129251700680273,0.8503401360544217,0.8503401360544217
over,0.8,0.7529411764705882,0.8235294117647058,0.4823529411764706,0.7294117647058823,0.6823529411764706
above,0.8433734939759037,0.7951807228915663,0.8433734939759037,0.6746987951807228,0.8674698795180723,0.8674698795180723
Average,0.8761211207994138,0.8235921243808149,0.8292531834403679,0.5540518428543657,0.8354839973178063,0.8351227169006633
Overall,0.8839835728952772,0.8203285420944558,0.8285420944558521,0.5482546201232033,0.8326488706365504,0.8367556468172485
